,Year,technology,region,value
94,2050,H2 delivery,South Asia,0.033943
95,2050,H2 liquid truck,Africa_Western,88.38386248100001
96,2050,H2 liquid truck,Brazil,50.688968757000005
97,2050,H2 liquid truck,China,359.35054773
98,2050,H2 liquid truck,India,139.53356709000002
99,2050,H2 liquid truck,South Asia,37.246541620399995
100,2050,H2 pipeline,Africa_Western,0.3733919
101,2050,H2 pipeline,Brazil,0.16111801
102,2050,H2 pipeline,China,1.5076441
103,2050,H2 pipeline,India,0.55037839
104,2050,H2 pipeline,South Asia,0.15515885499999998
105,2050,H2 retail delivery,Africa_Western,5.8812e-06
106,2050,H2 retail delivery,Brazil,0.000383228
107,2050,H2 retail delivery,China,0.155596
108,2050,H2 retail delivery,India,0.00637421
109,2050,H2 retail delivery,South Asia,0.030493899999999997
110,2050,H2 retail dispensing,Africa_Western,0.180459
111,2050,H2 retail dispensing,Brazil,0.162837
112,2050,H2 retail dispensing,China,0.368152
113,2050,H2 retail dispensing,India,0.357095
114,2050,H2 retail dispensing,South Asia,0.0813277
115,2050,biomass to H2,Africa_Western,0.10378934777
116,2050,biomass to H2,Brazil,0.0511005719
117,2050,biomass to H2,China,0.33277103300000005
118,2050,biomass to H2,India,0.10406958770000002
119,2050,biomass to H2,South Asia,0.04832461869999999
120,2050,electrolysis,Africa_Western,0.12271180563110001
121,2050,electrolysis,Brazil,0.050611738712200004
122,2050,electrolysis,China,0.38922638364600004
123,2050,electrolysis,India,0.10056888452116
124,2050,electrolysis,South Asia,0.04871171113361801
125,2050,natural gas steam reforming,Africa_Western,0.46527368440000005
126,2050,natural gas steam reforming,Brazil,0.3631762442
127,2050,natural gas steam reforming,China,2.196458498
128,2050,natural gas steam reforming,India,1.0665956839999997
129,2050,natural gas steam reforming,South Asia,0.19061730260999998
130,2050,thermal splitting,Africa_Western,0.024232550539999998
131,2050,thermal splitting,Brazil,0.011766388399999998
132,2050,thermal splitting,China,0.07992091800000001
133,2050,thermal splitting,India,0.0274685702
134,2050,thermal splitting,South Asia,0.011377460839999999
